"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","homeStatus","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","photos/61","photos/62","photos/63","photos/64","photos/65","photos/66","photos/67","photos/68","photos/69","photos/70","photos/71","photos/72","photos/73","photos/74","photos/75","photos/76","photos/77","photos/78","photos/79","photos/80","photos/81","photos/82","photos/83","photos/84","photos/85","photos/86","photos/87","photos/88","photos/89","photos/90","photos/91","photos/92","photos/93","photos/94","photos/95","photos/96","photos/97","photos/98","photos/99","price","url","yearBuilt"
"New Hyde Park",,,"NY","21 N 10th St",,"11040","3","4","USD","(2) New construction homes available by high-end experienced builder in desirable New Hyde Park location. Featuring two story entry, 9' ceilings, finished basement also w/ 9' ceilings, 4 beds/2.5 full tiled modern baths, living room with coffered ceiling, dining room with paneled feature wall, family room with gas fireplace, finished basement with side door & egress window, high quality craftsmanship throughout, extensive mill work & trim details, Over $100K in upgrades including Andersen 400 series windows, concrete driveway, PVC fencing, LAARS tankless water heater, hydronic heating system, (2) zone CAC + 3rd zone in basement via a split system. Sod, sprinklers and professional landscaping is all included!","FOR_SALE","40.733143","2700","-73.68643","https://photos.zillowstatic.com/fp/c2e82dfcc48668e6ea2b8323903887dd-p_d.jpg","https://photos.zillowstatic.com/fp/4747aa898a63556118adc3cf059b1f24-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325000","https://www.zillow.com/homedetails/21-N-10th-St-New-Hyde-Park-NY-11040/167400527_zpid/","2022"
"New Hyde Park",,,"NY","15 N 10th St",,"11040","3","4","USD","(2) New construction homes available by high-end experienced builder in desirable New Hyde Park location. Featuring two story entry, 9' ceilings, finished basement also w/ 9' ceilings, 4 beds/2.5 full tiled modern baths, living room with coffered ceiling, dining room with paneled feature wall, family room with gas fireplace, finished basement with side door & egress window, high quality craftsmanship throughout, extensive mill work & trim details, Over $100K in upgrades including Andersen 400 series windows, concrete driveway, PVC fencing, LAARS tankless water heater, hydronic heating system, (2) zone CAC + 3rd zone in basement via a split system. Sod, sprinklers and professional landscaping is all included!","FOR_SALE","40.73268","2700","-73.68599","https://photos.zillowstatic.com/fp/c0c97795d1d4bb3dc2c3cc9f97599aca-p_d.jpg","https://photos.zillowstatic.com/fp/89c7e4dc279c5532bff97750eab75460-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1325000","https://www.zillow.com/homedetails/15-N-10th-St-New-Hyde-Park-NY-11040/2065552014_zpid/","2022"
"Port Jefferson Station",,,"NY","7 Janet St",,"11776","3","4","USD","Beautifully Appointed Post Modern With Entertainers Yard On Private Acre+ Is Waiting For You!  Home Boasts 4BR, 2.5BA Office, Formal Dining Room, Kitchen w/High End Appliances & Center Island, Cathedral Living Room, Family Room w/Fireplace, Custom Moldings, 9ft Ceilings (Including Basement too), Chandeliers, Laundry Room & More!  Outdoors Enjoy An Entertainer's Yard Complete w/Pavers Galore, IG Pool, Gera Gardens Shed, Addt'l Detached 1 Car Garage, Belgium Block Expanded Driveway & Privacy For Days! Low Taxes, Close To Schools, Highways, Shopping & SUNY.","FOR_SALE","40.902817",,"-73.05691","https://photos.zillowstatic.com/fp/880a5d5417a713deaaeb4d418ab02b73-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"679990","https://www.zillow.com/homedetails/7-Janet-St-Port-Jefferson-Station-NY-11776/82659782_zpid/","2004"
"Roosevelt",,,"NY","167 Howard Ave",,"11575","2","3","USD",,"FOR_SALE","40.689632",,"-73.587555","https://photos.zillowstatic.com/fp/38f0582c6bbeab28f4d5f1de98cf74a3-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"570000","https://www.zillow.com/homedetails/167-Howard-Ave-Roosevelt-NY-11575/31325368_zpid/","1936"
"Yorktown Heights",,,"NY","1180 Baldwin Rd",,"10598","2","3","USD","Nestled on a level, usable parcel surrounded by stone walls and backing to the NYC aqueduct, is this bright and sunny home just one minute from the Taconic State Parkway. An inviting paver patio set into a gentle hill, welcomes you as you approach this brick and cedar home. The main level has an open floor plan with cathedral ceilings in the living room and dining room which open to the multi-level, wraparound deck with a wooded backdrop. The updated kitchen features custom cabinetry, granite countertops and stainless steel appliances. Three bedrooms, including a primary bedroom with two closets, and an updated hall bath complete the main floor living area.  The finished walkout lower level features a spacious family room with a brick fireplace with a woodburning stove insert, and a work/study area with built-in shelves opening to the wraparound deck. This level also features a laundry room and renovated bath with shower, a two car garage and utilities. All this with Yorktown schools!","FOR_SALE","41.253357","1800","-73.8137","https://photos.zillowstatic.com/fp/ca12d4c7f61c40dabbb16b04a361f0d6-p_d.jpg","https://photos.zillowstatic.com/fp/d6bacdd64cc402c20bb5d4461c4b30d7-p_d.jpg","https://photos.zillowstatic.com/fp/48cb172020eb7b516b1e79e7f9cde11b-p_d.jpg","https://photos.zillowstatic.com/fp/9888e096895ed8a9495f8c2482cc075c-p_d.jpg","https://photos.zillowstatic.com/fp/44ae905d04f3ae46070d9f23547df91e-p_d.jpg","https://photos.zillowstatic.com/fp/7b175ed79e5ad76574d7f44c73d4a580-p_d.jpg","https://photos.zillowstatic.com/fp/b9098251663792592c12d720587abdf1-p_d.jpg","https://photos.zillowstatic.com/fp/8bdd53e95bb5621393fc4ea52a970798-p_d.jpg","https://photos.zillowstatic.com/fp/211a2ff125328d6416723d1d2a93ed3d-p_d.jpg","https://photos.zillowstatic.com/fp/d847c27e7b66a6fd0702670884758d33-p_d.jpg","https://photos.zillowstatic.com/fp/d9f7fb92a1fefe08f7191dbcb85eab33-p_d.jpg","https://photos.zillowstatic.com/fp/4d8814dee412dd185f861da73e5320ba-p_d.jpg","https://photos.zillowstatic.com/fp/21f1ad5365a5d1ebec0892294d61578e-p_d.jpg","https://photos.zillowstatic.com/fp/1835c475121686648d8bc806791a47e8-p_d.jpg","https://photos.zillowstatic.com/fp/5efd3635c0d63649d1cfb71a655d1e39-p_d.jpg","https://photos.zillowstatic.com/fp/117f0814968def5d1706da14d17e65b2-p_d.jpg","https://photos.zillowstatic.com/fp/0be0cf7e4d629212ff3bda9a86bb4aca-p_d.jpg","https://photos.zillowstatic.com/fp/9b97b8fe39da9b6df1a988b6426fa23d-p_d.jpg","https://photos.zillowstatic.com/fp/c5cba8ef513d50776e394016fa2d1dbf-p_d.jpg","https://photos.zillowstatic.com/fp/a8b180d41141a52f4fda7dc91138279a-p_d.jpg","https://photos.zillowstatic.com/fp/c0488b816c3555991a413defff62928d-p_d.jpg","https://photos.zillowstatic.com/fp/f91af6e0ce3bc563b05133a71616cf61-p_d.jpg","https://photos.zillowstatic.com/fp/51df6dab38a1df18c246a8e4dbb9d586-p_d.jpg","https://photos.zillowstatic.com/fp/d9e27b3c2509b269addd3a363dae8c23-p_d.jpg","https://photos.zillowstatic.com/fp/c763c82713c8454279b6456b6ed44d13-p_d.jpg","https://photos.zillowstatic.com/fp/5de5214be79eed0b6667eef48ac0ac8a-p_d.jpg","https://photos.zillowstatic.com/fp/6d4efeb77c7ce8e60e5229747a9d2063-p_d.jpg","https://photos.zillowstatic.com/fp/0f6b672745ac1eaff76092cc734525c5-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"650000","https://www.zillow.com/homedetails/1180-Baldwin-Rd-Yorktown-Heights-NY-10598/58430286_zpid/","1965"
"Ronkonkoma",,,"NY","40 Park Ave",,"11779","3","3","USD","""Master Carpenter Lives Here"" Welcome To This Well Maintained 3/4 Bedroom, 2.5 Bath Home. Crown Molding Throughout! Custom Arch In Kitchen/Dining Room. Great Closet Space Including A Custom Built Cedar Closet. Hardwood Floors, Updated Kitchen And Baths. Master W/2 Closets And Half Bath. Living Room, Formal Dining Room, EIK W/Large Pantry. Finished Basement W/Laundry Room, Den, Game Room, Full Bath And Office Or 4th Br. Fenced Spacious Yard W/IGS, Raised Garden Beds And 2 Storage Sheds. New Oil Burner (2014) New Roof (2013)","FOR_SALE","40.841225","1500","-73.09851","https://photos.zillowstatic.com/fp/03be52df97255e83c6b065e1fd891bbc-p_d.jpg","https://photos.zillowstatic.com/fp/8a56a588bf3be57aacfebe965135257a-p_d.jpg","https://photos.zillowstatic.com/fp/f71ffc1c82369afb1e93a0cf1df50427-p_d.jpg","https://photos.zillowstatic.com/fp/5b62f9d440ce5a764e2445ad75324c11-p_d.jpg","https://photos.zillowstatic.com/fp/9b1d4695b400344c4154ad9b684728fc-p_d.jpg","https://photos.zillowstatic.com/fp/858e074fe959b36d0d80251b242680f9-p_d.jpg","https://photos.zillowstatic.com/fp/301d2a803eb725e0b8a103a77e9ca4fa-p_d.jpg","https://photos.zillowstatic.com/fp/d38680e8e54bcb014a84625907f719f1-p_d.jpg","https://photos.zillowstatic.com/fp/465378f0d60493073a4b3fa949430bdd-p_d.jpg","https://photos.zillowstatic.com/fp/d903dfc7faf5dedd1780616b02283cad-p_d.jpg","https://photos.zillowstatic.com/fp/704f91d9a3e7af3a1ffaa2f4abb6d686-p_d.jpg","https://photos.zillowstatic.com/fp/371f6d9d3d9c3b01d2a7d125f7ec927c-p_d.jpg","https://photos.zillowstatic.com/fp/5916ba0598fe42d2ad2cdeaa65c983c8-p_d.jpg","https://photos.zillowstatic.com/fp/f3c609b7cb6a43445281bd086c531f8d-p_d.jpg","https://photos.zillowstatic.com/fp/e19a9b648eb0787121bb9d13005cbccd-p_d.jpg","https://photos.zillowstatic.com/fp/dff005bde40046cf73a06fddc1332a92-p_d.jpg","https://photos.zillowstatic.com/fp/c21e097fbc21ccb66a108b86120e319b-p_d.jpg","https://photos.zillowstatic.com/fp/f506009252c2363c1b61446ac888b5bb-p_d.jpg","https://photos.zillowstatic.com/fp/ff0d7146fb5a980db7c4636afcce7849-p_d.jpg","https://photos.zillowstatic.com/fp/97c8fcbf833a18eb909c39cb4e3ff222-p_d.jpg","https://photos.zillowstatic.com/fp/cb692cf59421eb0e63519332cff32dbb-p_d.jpg","https://photos.zillowstatic.com/fp/425d082e74e08cd2ac1623662d325d25-p_d.jpg","https://photos.zillowstatic.com/fp/34bff413209415865f7dd69d26b4f059-p_d.jpg","https://photos.zillowstatic.com/fp/a0dc0acc1df6661bdcc5e9d392481a47-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"499990","https://www.zillow.com/homedetails/40-Park-Ave-Ronkonkoma-NY-11779/59506151_zpid/","1968"
"Ridgewood",,,"NY","71-68 70th St",,"11385","2","3","USD","New on the market, 2 family property in the heart of Glendale. 1st floor offers comfortable 2 bedroom apartment with entrance to the yard. 2nd floor has a cozy and sunny one bedroom apartment. Full finished basement with a bar, laundry room. Amazing location near shops, schools, public transportation and park.","FOR_SALE","40.702454",,"-73.88134","https://photos.zillowstatic.com/fp/0e4326cb95a577337de513a62de7498d-p_d.jpg","https://photos.zillowstatic.com/fp/c56d5a6f502789b59862f45573135d86-p_d.jpg","https://photos.zillowstatic.com/fp/b37e6be19687eb4b2bdcd520c9a03b97-p_d.jpg","https://photos.zillowstatic.com/fp/0f61e8444c95f1d8d7e6510af3d70b8b-p_d.jpg","https://photos.zillowstatic.com/fp/35770f4c68b993ec10f77ecdcd60a580-p_d.jpg","https://photos.zillowstatic.com/fp/3ed82c3f5b158fe6167ee78eaba8f553-p_d.jpg","https://photos.zillowstatic.com/fp/06e07e5ea7299308671e6c513a7df215-p_d.jpg","https://photos.zillowstatic.com/fp/a6690485add4a8a2699847dec3e3da89-p_d.jpg","https://photos.zillowstatic.com/fp/67b82686892100a995e3b030bdb41cf7-p_d.jpg","https://photos.zillowstatic.com/fp/64c1243be64303787801283da6d4c213-p_d.jpg","https://photos.zillowstatic.com/fp/84ac70cdef4c2da1e6ff0ef86ff20f10-p_d.jpg","https://photos.zillowstatic.com/fp/44cbab804e55d8e3a0dd04f51b54871c-p_d.jpg","https://photos.zillowstatic.com/fp/137eb3b2af535f1517ddc0b638f94dbd-p_d.jpg","https://photos.zillowstatic.com/fp/3f29c15ee940b638b2613258eb56bcca-p_d.jpg","https://photos.zillowstatic.com/fp/18d3de58bd5a9315fcaafa5c0ecdf69d-p_d.jpg","https://photos.zillowstatic.com/fp/f6a7696460e8cbdf2a99048e9092acf1-p_d.jpg","https://photos.zillowstatic.com/fp/ef8864a0aeb55432b59d8bbe79f7d693-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"930000","https://www.zillow.com/homedetails/71-68-70th-St-Ridgewood-NY-11385/2065561351_zpid/","1910"
"Nanuet",,,"NY","23 Sherwood Dr",,"10954","3","3","USD","Great split level that was highly maintained located within the Nanuet School District!   3 bedrooms, 2.5  baths, updated eat in kitchen with stainless steel appliances , living room, dining room and a enjoyable den/TV room.   Once outside you will witness over 1/2 acre of park like property containing a delightful  inground pool (new liner and pump 2020), sun filled sitting area and a beautiful area to set your garden.  Ample driveway parking, close to public transportation, parks and shopping.   Approximately 30 miles to NYC and a 5 minute drive to NJ.  Recent upgrades and repairs include Roof and Windows in 2012, Furnance and A/C 2017, and a Pool pump and liner 2020.  The owners took pride in their home and it shows!","FOR_SALE","41.098988","1532","-74.02556","https://photos.zillowstatic.com/fp/0f4eae6cadfa4b800e2afed222358807-p_d.jpg","https://photos.zillowstatic.com/fp/5f9f6a5203ca7bf55732891e7795b753-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"524900","https://www.zillow.com/homedetails/23-Sherwood-Dr-Nanuet-NY-10954/53408206_zpid/","1960"
"Plainview",,,"NY","16 Elmwood Ct",,"11803","4","5","USD","THIS LARGE EXPD HOME IN PERFECT MID BLOCK CUL DE SAC LOC.ON PROF.LANDSCAPED PROPERTY IN THE MANETTO HILLS SECTION FEATURES,A LARGE CONTEMPORARY MASTER STE WITH A SUN DRENCHED MASTER SOPHISTICATED  JACUZZI BTH,LARGE WIC,4 OTHER BRS,3 UPDATED FULL BATHS,RM FOR MOM,GLEAMING HARWD FLRS,STYLISH GRANITE,S/STEEL,CENTER ISLE,EXCESSIVE CHERRYWD CABINETRY EIK,PORCH,UGS,200+AMPS,2 ZONED CAC,GAS LINE NEXT DOOR!!,A MUST SEE.TAXES WITH *17,382.PROF.PHOTOS TO BE UPLOADED SHORTLY","FOR_SALE","40.782246","3000","-73.46953","https://photos.zillowstatic.com/fp/99a56616cf6a7cb6b24403a61ed245a6-p_d.jpg","https://photos.zillowstatic.com/fp/dc5dee01e96812d4b08e34bd64f8a816-p_d.jpg","https://photos.zillowstatic.com/fp/dc5dee01e96812d4b08e34bd64f8a816-p_d.jpg","https://photos.zillowstatic.com/fp/dc5dee01e96812d4b08e34bd64f8a816-p_d.jpg","https://photos.zillowstatic.com/fp/153d27924e25808f24d75647a19b68f3-p_d.jpg","https://photos.zillowstatic.com/fp/153d27924e25808f24d75647a19b68f3-p_d.jpg","https://photos.zillowstatic.com/fp/469330c8a94767a5737d47b9d6abbba5-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1199888","https://www.zillow.com/homedetails/16-Elmwood-Ct-Plainview-NY-11803/31138167_zpid/","1958"
"Glen Cove",,,"NY","37 Prospect Ave #1500",,"11542","2","5","USD","You'll love this updated Old-Style Colonial offers 8 rooms 4/5 BR 2 Full Bath with a MBR located on both levels! Relax in the sun-filled extended LR (converted porch), FDR, or work from home in the bright roomy office/5th BR. Sliders from EIK to wood deck plus patio-block patio fenced yard with deep private lot. Single-layer roof, vinyl siding, and downstairs windows are 4-years-old. Near Middle & High Schools, Glen Cove Hospital, Restaurants, Grocery Stores & Banks. Great For Commuters-Very Close To LIRR, 18 Miles From NYC.","FOR_SALE","40.86911","1470","-73.63382","https://photos.zillowstatic.com/fp/68c3fe5f21ffa0cd54ca4f74a2c26ecf-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"599000","https://www.zillow.com/homedetails/37-Prospect-Ave-1500-Glen-Cove-NY-11542/2065580966_zpid/","1900"
"Shawangunk",,,"NY","317 Sinsabaugh Rd",,"12566","2","3","USD","If you're looking for privacy, you've found it! This lovely ranch sits on 5 beautiful acres & is the last house on a quiet country road with no thru traffic. Conveniently located just minutes to the center of Pine Bush, but with enough seclusion to feel like you're miles away. This home features an open concept layout on the main level. The full unfinished basement has tons of potential with 9ft ceilings, natural light from large windows, and the opportunity to install a walkout/separate entrance. The heated garage is large enough to fit a car lift and still have room for storage. The 30ft round above ground pool & surrounding deck overlooking the backyard is the perfect place to sit back & relax and enjoy the tranquility this property offers. Notable upgrades include a 10KW Generac standby generator, owned solar panels that cover 100% of the electric bill, driveway alarm, security system, Harman pellet stove, smart thermostat system. The beauty of nature, affordable taxes, unbeatable location, and peace of mind security features...this home has it all.","FOR_SALE","41.634495","1662","-74.32314","https://photos.zillowstatic.com/fp/37d8e41e23e3e84ea17f8c9f75e64fa7-p_d.jpg","https://photos.zillowstatic.com/fp/25ccc9d5e19d78caf1dc1affa17bed03-p_d.jpg","https://photos.zillowstatic.com/fp/0b5cd5dfc0b4cbdcf4d3fa3f787f2f88-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"449900","https://www.zillow.com/homedetails/317-Sinsabaugh-Rd-Shawangunk-NY-12566/101987190_zpid/","2010"
"Manorville",,,"NY","89 Lakeview Dr #89",,"11949","3","3","USD","Easy To Live In and Easy To Own/Ditch your Lawnmower & Snow Shovel & Enjoy a carefree lifestyle you deserve /The Greens /This Spacious 2 Story offers 3 Large Bedrooms with 2.5 Baths/ Large and Lovely Great Room with Gas Fireplace/Outstanding Design with no one above or below your unit/Park-Like Grounds with Man Made Lakes / Community In-Ground Pool/ Tennis Courts/Playground/Basketball/Pet-friendly/ Low Taxes/ Lush Landscaping/ Full-Size Washer & Dryer / Large Attached 1 car Garage/ Underground Utilities/ Enjoy your top Notch Location adjacent to 18 Hole Championship  Golf Course/shopping / Hamptons/ Wineries/Restaurants /Beaches/Easy access to Expressway and Sunrise Hwy/ Hamptons Life Style at Fraction of the price. A CAREFREE LIFESTYLE ALLOWS MORE FREE TIME FOR YOU AND YOUR FAMILY! /Subject to terms and conditions of an offering plan. Call Today","FOR_SALE","40.842968",,"-72.77052","https://photos.zillowstatic.com/fp/1a1eaccd402b25af683ddeaab583d7bc-p_d.jpg","https://photos.zillowstatic.com/fp/db47fd33ff976b8cd724d96fb123367e-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"459000","https://www.zillow.com/homedetails/89-Lakeview-Dr-89-Manorville-NY-11949/2065590530_zpid/","2002"
"Ronkonkoma",,,"NY","20 3rd St",,"11779","4","5","USD","5 Br, 3.5 Bath Home. Commuter's Dream! Close To LIRR Ronkonkoma Station - Seconds To LIE = Short Drive To Islip Airport. Newly Updated 200 AMP Elec Service W/Brand New Panel(2022) New Patio/Sidewalk(2021) New Beckett Oil Burner(2018)Newer Hot Water Heater. 30 Yr Architectural Roof (2008) As Well As Siding & Upper Level Windows.  Partially Finished Basemen With 1/2 Bath!","FOR_SALE","40.809948",,"-73.11349","https://photos.zillowstatic.com/fp/3cb90e0333d048c4444b09212c284484-p_d.jpg","https://photos.zillowstatic.com/fp/6afeda2ab6994bf0dcb8fd428456825a-p_d.jpg","https://photos.zillowstatic.com/fp/52cc7ec51c601c0b31b581ed5198423b-p_d.jpg","https://photos.zillowstatic.com/fp/227dc7f846bb4222f3d8c9d5465e9633-p_d.jpg","https://photos.zillowstatic.com/fp/dfde728e6d13946127310de78b6c58a7-p_d.jpg","https://photos.zillowstatic.com/fp/5ef3fd0c2df70e86474c46aaa088170a-p_d.jpg","https://photos.zillowstatic.com/fp/caab6727227c94d8f6a2353c4d2f1c2e-p_d.jpg","https://photos.zillowstatic.com/fp/8bbc3650bc1cd45a6825c9e4998fa4bd-p_d.jpg","https://photos.zillowstatic.com/fp/65b0c96c2940fea853aef6198e6e242e-p_d.jpg","https://photos.zillowstatic.com/fp/55729595164a889756356f4894e3ae73-p_d.jpg","https://photos.zillowstatic.com/fp/3beeee4a32fabe6b032d36b003646186-p_d.jpg","https://photos.zillowstatic.com/fp/d47fb2fc235b9f386898c4d18df3daa9-p_d.jpg","https://photos.zillowstatic.com/fp/cda9106e54ecd903ca0d1f7a406df362-p_d.jpg","https://photos.zillowstatic.com/fp/ca07b7face28bec206bf5a72eb7916e2-p_d.jpg","https://photos.zillowstatic.com/fp/6e908c12f96014dc4664d5ae0884f498-p_d.jpg","https://photos.zillowstatic.com/fp/2134aab884334a089d983c31d4de4ba5-p_d.jpg","https://photos.zillowstatic.com/fp/fe7937367613c6465f6a44da86b82aee-p_d.jpg","https://photos.zillowstatic.com/fp/5629019ac977fa4da7508fe1f0500829-p_d.jpg","https://photos.zillowstatic.com/fp/e6630b078c8c67dcdd270ac2c698acc6-p_d.jpg","https://photos.zillowstatic.com/fp/6d9aa0e7f3885827e12717f7f9e1b227-p_d.jpg","https://photos.zillowstatic.com/fp/44e1e20a052bcc7aa1f33b1d4d09052d-p_d.jpg","https://photos.zillowstatic.com/fp/1ada1f313aea02f95cedc698d95fd2f9-p_d.jpg","https://photos.zillowstatic.com/fp/4fc392fc8af259dc7c1ee5799cf21dd6-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"549990","https://www.zillow.com/homedetails/20-3rd-St-Ronkonkoma-NY-11779/59522175_zpid/","1954"
"Sayville",,,"NY","10 Harp Ln",,"11782","2","4","USD","BEAUTIFULLY MAINTAINED SPINNING WHEEL COLONIAL W/BRICK FRONT PORCH, GENEROUS SIZE ROOMS, GAS FPLCE,  FOUR SEASON SUNROOM, IGPOOL IN PRIVATE BACKYARD. ENJOY THE LOW ELECTRIC BILL AS THE ONE YEAR OLD SOLAR PANELS ARE OWNED. GAS HEAT ON DEMAND HOT WATER. CAC, WALK TO ELEMENTARY SCHOOL. TOO ANY AMENITIES TOO LIST...","FOR_SALE","40.757084","1800","-73.06844","https://photos.zillowstatic.com/fp/dc494f92d125e9b0172365792c760037-p_d.jpg","https://photos.zillowstatic.com/fp/250f66a37958cf4360e591da94ec87fa-p_d.jpg","https://photos.zillowstatic.com/fp/0fd737dea9aa010ae73cdfca053734e5-p_d.jpg","https://photos.zillowstatic.com/fp/bce908b53b44450bf431f9592ae97dca-p_d.jpg","https://photos.zillowstatic.com/fp/4199719758d94bf795048665bd7b19ed-p_d.jpg","https://photos.zillowstatic.com/fp/ad7fbad2c3658cbe845fb42120c84b95-p_d.jpg","https://photos.zillowstatic.com/fp/f8416481007814c183dd9371ede174ab-p_d.jpg","https://photos.zillowstatic.com/fp/7ab0e4d427de95388b6fc310bd8ceda2-p_d.jpg","https://photos.zillowstatic.com/fp/f1acd4a31f606a08d93994ff048aa3be-p_d.jpg","https://photos.zillowstatic.com/fp/b2522942e313584d590eef959c219a59-p_d.jpg","https://photos.zillowstatic.com/fp/997d24dfe9628bcc0611788eecf7b4fb-p_d.jpg","https://photos.zillowstatic.com/fp/2feb88335a42ade6bea50b806cfaf95d-p_d.jpg","https://photos.zillowstatic.com/fp/154cd3e067c2f2bc6ae52933f737d3db-p_d.jpg","https://photos.zillowstatic.com/fp/74d48628b4b049adf4bbecb1546d22c0-p_d.jpg","https://photos.zillowstatic.com/fp/9a5fc2f71aaf58201a8081616d88687b-p_d.jpg","https://photos.zillowstatic.com/fp/21126417bd948c22b5a9ed6e704c8deb-p_d.jpg","https://photos.zillowstatic.com/fp/d735ac0c8ef3be5bdb6f348ea6ea6c83-p_d.jpg","https://photos.zillowstatic.com/fp/2af67b6e978571b726755ecbe69088b6-p_d.jpg","https://photos.zillowstatic.com/fp/ecdd946102110653872d35b5e39d9d85-p_d.jpg","https://photos.zillowstatic.com/fp/82c4e9e3c0b0cafc8c8b54d70fa1044d-p_d.jpg","https://photos.zillowstatic.com/fp/77e45e16f2d28a1f9f34074e20d95940-p_d.jpg","https://photos.zillowstatic.com/fp/8e3de949b6e208a9487178c8bb08d02c-p_d.jpg","https://photos.zillowstatic.com/fp/baa361d86ffd6dd221f4ea9aebacd3f6-p_d.jpg","https://photos.zillowstatic.com/fp/cba74dd701e5123fd34b3df5b1a2bcc9-p_d.jpg","https://photos.zillowstatic.com/fp/2c4265be1e6fa5a2b2e93cdb7254d89b-p_d.jpg","https://photos.zillowstatic.com/fp/c922d9f71408379f74a67662674b5ef0-p_d.jpg","https://photos.zillowstatic.com/fp/2dab69f1ad540df8be38b0b50b1d9fab-p_d.jpg","https://photos.zillowstatic.com/fp/f3c22afb6f27f66e3993a66506a1dcd2-p_d.jpg","https://photos.zillowstatic.com/fp/2be90a6eb394f10dd57d2e40aa684fec-p_d.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"659990","https://www.zillow.com/homedetails/10-Harp-Ln-Sayville-NY-11782/59635940_zpid/","1966"
